16	2.90277e-06	3.27855e-06	2.90182e-06	1.54206e-06
196	0.000198277	0.00016636	0.0001597	8.0648e-05
576	0.00085528	0.000824838	0.000821423	0.000414059
1156	0.00384017	0.00324846	0.00323914	0.00161016
1936	0.0093912	0.00820258	0.008194	0.00412496
2916	0.023352	0.019101	0.0195936	0.0096072
2916	0.0278865	0.0222496	0.0229132	0.0111605
16	2.81921e-06	2.97997e-06	2.7765e-06	1.48261e-06
196	0.000201632	0.000159579	0.000157953	8.00467e-05
576	0.000855168	0.000815866	0.000812116	0.000410423
1156	0.00438286	0.00343981	0.00332843	0.00163821
1936	0.0092553	0.00828164	0.00820783	0.00401096
2916	0.0229495	0.0195358	0.0198114	0.0097559
2916	0.0279868	0.0227763	0.0222602	0.011472
2916	0.0333077	0.0281528	0.0290252	0.0132651
